numero habitantes,Zona_Entorno,Region,consumo kwh mensual,Aislamiento_Termico,Material_Vivienda,Uso_Calentador,Tiene_AC,Indice_Eficiencia_Energetica,Horas_Ocupacion_dia,Temp_Promedio_Celsius,area construccion metros cuadrados,gasto usd mensual
3,Comercial,Sierra,165.7,Regular,Mixto,Si,Si,98,14,32.3,101.6,28.05
3,Comercial,Sierra,133.4,Regular,Madera,Si,Si,98,5,19.2,127.4,22.09
3,Comercial,Sierra,264.9,Regular,Hormigon,Si,Si,91,5,26.0,94.1,33.38
2,Comercial,Costa,151.2,Regular,Hormigon,No,Si,57,15,22.7,120.5,24.71
2,Comercial,Sierra,263.5,Bueno,Madera,No,No,66,18,21.4,86.2,34.14
2,Comercial,Sierra,262.9,Malo,Mixto,Si,No,57,20,25.6,129.5,33.15
4,Comercial,Oriente,169.1,Regular,Madera,Si,Si,71,17,27.1,84.8,25.58
4,Residencial,Sierra,195.0,Regular,Hormigon,No,Si,97,19,18.1,125.3,22.8
2,Residencial,Sierra,245.0,Bueno,Hormigon,Si,No,88,11,29.7,120.2,29.56
3,Residencial,Oriente,261.3,Bueno,Mixto,No,Si,71,20,30.3,138.6,28.65
5,Comercial,Oriente,188.5,Bueno,Madera,No,No,92,8,32.5,167.4,28.59
2,Residencial,Costa,169.3,Bueno,Hormigon,Si,Si,87,15,20.7,50.0,20.17
3,Comercial,Oriente,133.7,Malo,Hormigon,No,No,84,9,26.9,112.8,16.81
2,Comercial,Costa,251.0,Malo,Hormigon,No,Si,93,21,24.4,106.8,32.11
6,Residencial,Oriente,347.2,Regular,Madera,No,Si,75,8,23.0,66.4,41.03
2,Comercial,Oriente,155.1,Malo,Madera,No,Si,75,9,26.5,94.2,22.92
3,Residencial,Costa,161.1,Regular,Mixto,Si,No,60,12,29.7,129.7,28.3
3,Residencial,Oriente,220.6,Regular,Hormigon,No,No,85,18,18.3,124.5,28.37
5,Residencial,Costa,288.5,Malo,Hormigon,No,No,71,13,32.5,130.2,36.4
4,Comercial,Oriente,174.3,Regular,Mixto,No,Si,70,20,30.1,116.2,22.13
3,Residencial,Sierra,249.6,Bueno,Hormigon,Si,Si,76,22,29.3,50.0,28.75
5,Comercial,Oriente,334.7,Regular,Mixto,Si,Si,55,15,29.4,125.7,43.29
4,Residencial,Costa,181.2,Bueno,Mixto,Si,Si,85,12,23.8,74.6,21.67
3,Residencial,Oriente,129.1,Malo,Hormigon,No,Si,85,18,29.3,112.4,17.49
2,Residencial,Costa,153.5,Malo,Madera,Si,Si,53,17,23.8,106.1,27.28
3,Comercial,Costa,304.8,Regular,Madera,Si,No,96,4,31.5,116.1,52.16
2,Comercial,Sierra,237.9,Bueno,Madera,Si,No,63,20,20.7,98.7,28.62
3,Comercial,Sierra,200.4,Regular,Madera,No,No,64,4,22.4,103.6,27.53
5,Residencial,Costa,176.2,Malo,Hormigon,Si,Si,85,16,26.3,73.8,21.98
4,Residencial,Oriente,199.2,Regular,Mixto,Si,No,90,11,22.8,88.4,32.11
7,Comercial,Costa,338.6,Regular,Mixto,Si,Si,74,16,24.4,89.1,37.35
2,Comercial,Costa,230.5,Bueno,Hormigon,No,Si,56,19,25.4,155.0,33.55
2,Comercial,Oriente,160.2,Malo,Madera,No,No,85,5,30.8,74.0,23.07
4,Comercial,Oriente,254.1,Regular,Mixto,Si,Si,81,16,25.8,76.5,36.81
6,Comercial,Oriente,264.9,Bueno,Hormigon,Si,Si,84,21,23.4,50.0,41.28
4,Comercial,Oriente,337.7,Regular,Hormigon,Si,Si,93,6,21.7,146.2,44.38
2,Residencial,Costa,272.0,Bueno,Madera,No,Si,43,16,24.1,134.6,36.66
3,Comercial,Costa,185.0,Bueno,Hormigon,No,Si,50,22,25.7,139.8,28.38
3,Residencial,Sierra,220.9,Regular,Mixto,Si,No,86,16,29.2,100.0,30.94
2,Residencial,Costa,149.7,Malo,Mixto,No,No,54,22,19.8,110.5,22.27
3,Comercial,Oriente,123.8,Malo,Hormigon,Si,Si,69,7,21.3,106.1,14.86
6,Comercial,Sierra,187.9,Bueno,Mixto,No,Si,63,22,23.7,150.2,31.88
6,Residencial,Oriente,250.2,Malo,Hormigon,Si,No,41,21,23.4,119.2,34.43
4,Comercial,Costa,216.8,Bueno,Mixto,No,No,82,9,23.9,91.6,29.42
2,Comercial,Sierra,269.2,Malo,Madera,Si,No,73,22,29.9,123.0,35.28
7,Residencial,Oriente,176.8,Regular,Mixto,No,Si,62,7,22.9,63.2,29.14
5,Residencial,Sierra,279.7,Malo,Madera,Si,No,70,7,25.5,116.8,51.58
4,Residencial,Sierra,214.5,Bueno,Madera,Si,No,76,10,27.4,109.4,24.67
2,Comercial,Costa,143.0,Bueno,Hormigon,Si,Si,52,10,21.5,79.6,24.58
3,Residencial,Oriente,185.1,Malo,Madera,Si,Si,72,19,28.8,77.2,22.72
4,Comercial,Sierra,173.6,Regular,Mixto,No,No,46,19,26.2,62.3,20.46
3,Residencial,Sierra,169.0,Bueno,Mixto,Si,Si,71,8,24.7,119.6,29.29
2,Residencial,Oriente,88.6,Bueno,Madera,No,No,46,18,30.1,123.7,14.13
5,Residencial,Sierra,302.9,Bueno,Hormigon,No,No,81,7,21.7,94.4,44.14
4,Comercial,Sierra,308.9,Bueno,Madera,Si,Si,77,16,31.2,103.0,35.91
6,Comercial,Sierra,310.0,Bueno,Mixto,Si,Si,91,22,26.4,93.5,33.31
4,Residencial,Oriente,334.1,Regular,Mixto,Si,No,83,10,27.1,120.1,47.86
2,Residencial,Oriente,131.7,Malo,Madera,Si,Si,52,15,31.1,112.8,21.11
4,Residencial,Oriente,214.9,Regular,Madera,No,Si,63,12,30.3,102.4,26.53
3,Comercial,Oriente,133.4,Regular,Madera,No,Si,67,20,27.0,124.9,17.24
4,Residencial,Costa,253.5,Bueno,Mixto,No,Si,71,5,29.3,104.2,30.71
6,Comercial,Sierra,266.1,Regular,Mixto,No,Si,82,19,24.5,94.6,34.96
4,Residencial,Oriente,203.7,Bueno,Mixto,Si,Si,57,10,26.2,126.8,23.51
3,Residencial,Sierra,296.7,Regular,Hormigon,No,Si,73,21,18.9,104.8,33.18
4,Residencial,Sierra,216.0,Bueno,Mixto,Si,No,87,10,19.3,156.2,29.64
3,Residencial,Costa,254.7,Bueno,Mixto,Si,Si,73,4,30.4,110.9,27.63
5,Residencial,Oriente,190.5,Regular,Hormigon,No,No,90,6,18.9,65.3,28.43
1,Residencial,Oriente,197.0,Regular,Hormigon,No,Si,77,14,20.5,59.5,25.84
3,Comercial,Sierra,123.9,Malo,Hormigon,No,No,40,18,29.9,75.1,17.9
6,Residencial,Oriente,358.6,Malo,Hormigon,No,Si,82,6,18.0,59.7,60.09
3,Comercial,Sierra,169.0,Malo,Hormigon,No,No,89,16,22.2,87.0,21.81
5,Residencial,Sierra,223.0,Regular,Hormigon,No,Si,81,7,26.8,130.4,30.67
4,Residencial,Costa,309.1,Regular,Madera,Si,No,70,11,26.9,107.5,38.54
6,Comercial,Costa,300.1,Bueno,Madera,Si,Si,89,7,29.7,128.5,36.01
3,Residencial,Costa,188.8,Malo,Madera,Si,Si,99,21,25.6,142.5,23.06
6,Comercial,Sierra,302.1,Bueno,Madera,No,No,40,10,25.6,99.3,34.3
6,Comercial,Oriente,217.6,Bueno,Mixto,Si,No,90,14,28.9,108.8,26.81
4,Residencial,Costa,142.9,Bueno,Hormigon,Si,Si,55,7,25.5,97.4,22.16
5,Comercial,Oriente,221.0,Bueno,Mixto,Si,No,97,16,27.1,106.3,25.07
6,Comercial,Costa,352.5,Malo,Hormigon,Si,No,78,12,31.5,84.4,41.39
5,Residencial,Costa,344.0,Bueno,Hormigon,Si,Si,54,12,24.0,112.4,38.92
6,Comercial,Sierra,295.0,Regular,Mixto,Si,No,72,22,23.8,101.9,33.9
5,Residencial,Costa,213.8,Regular,Madera,No,Si,62,6,18.1,92.9,30.92
1,Residencial,Costa,120.6,Regular,Mixto,No,No,92,15,27.2,117.4,18.5
4,Residencial,Sierra,326.0,Malo,Mixto,No,Si,80,14,18.4,142.2,37.24
6,Residencial,Oriente,266.5,Bueno,Hormigon,Si,No,73,23,25.6,89.5,46.72
2,Comercial,Costa,229.9,Malo,Hormigon,No,Si,56,14,30.1,89.4,31.44
6,Residencial,Sierra,322.5,Bueno,Hormigon,No,Si,64,20,26.2,86.4,45.72
3,Residencial,Costa,113.1,Malo,Madera,Si,No,95,17,22.0,102.5,13.88
4,Comercial,Sierra,181.4,Malo,Mixto,No,No,81,19,29.8,89.6,25.45
3,Residencial,Oriente,150.3,Bueno,Mixto,Si,Si,45,13,22.0,127.8,24.06
6,Residencial,Oriente,242.9,Malo,Madera,No,Si,70,7,29.0,93.4,33.53
6,Comercial,Sierra,347.2,Bueno,Mixto,Si,No,44,13,27.2,106.4,38.68
2,Comercial,Sierra,184.2,Regular,Mixto,Si,No,79,23,20.5,90.2,20.56
2,Comercial,Sierra,283.2,Regular,Hormigon,No,No,79,15,31.6,88.6,30.53
3,Comercial,Oriente,225.7,Regular,Madera,Si,No,69,12,21.0,106.1,32.0
5,Comercial,Costa,223.6,Malo,Hormigon,No,No,44,18,32.8,112.2,28.12
5,Comercial,Oriente,163.6,Regular,Madera,Si,No,51,12,18.1,82.6,24.91
5,Comercial,Sierra,203.5,Bueno,Hormigon,No,Si,46,10,22.0,85.8,33.74
6,Residencial,Sierra,228.1,Regular,Mixto,No,No,84,15,21.0,127.5,32.23
5,Comercial,Oriente,289.7,Regular,Madera,Si,No,52,23,18.2,108.6,35.53
5,Comercial,Sierra,282.4,Malo,Madera,No,No,88,17,29.0,104.3,34.3
4,Comercial,Oriente,187.0,Bueno,Hormigon,No,No,43,19,28.4,129.3,33.93
3,Residencial,Sierra,185.1,Malo,Madera,No,Si,89,22,29.9,97.1,31.47
2,Residencial,Costa,141.4,Malo,Mixto,Si,Si,81,6,21.9,97.7,24.08
5,Comercial,Costa,292.5,Bueno,Mixto,Si,Si,42,14,24.7,144.2,38.39
5,Comercial,Sierra,286.2,Malo,Mixto,No,Si,51,23,27.9,56.5,50.66
3,Comercial,Oriente,157.2,Bueno,Hormigon,No,No,40,22,24.6,88.7,24.49
4,Residencial,Costa,144.4,Regular,Madera,Si,Si,66,11,28.5,110.6,26.53
3,Residencial,Oriente,288.8,Bueno,Hormigon,Si,No,82,23,27.5,107.3,38.44
3,Comercial,Sierra,234.2,Bueno,Mixto,No,No,89,11,19.7,126.3,32.63
3,Residencial,Oriente,157.8,Bueno,Madera,Si,Si,52,6,29.7,75.2,24.65
4,Comercial,Costa,272.1,Malo,Mixto,Si,Si,56,13,28.8,132.9,33.55
7,Residencial,Oriente,295.9,Bueno,Madera,No,No,47,16,27.8,146.7,35.73
2,Residencial,Oriente,242.6,Bueno,Madera,Si,Si,71,12,20.3,80.1,30.04
2,Comercial,Sierra,196.4,Bueno,Hormigon,Si,Si,59,9,22.0,126.4,24.82
3,Comercial,Sierra,302.1,Regular,Madera,Si,No,90,18,23.9,111.8,38.62
3,Comercial,Sierra,119.7,Bueno,Mixto,No,No,56,19,22.2,135.5,19.32
4,Comercial,Costa,128.4,Malo,Madera,Si,No,73,8,21.4,99.7,20.77
2,Residencial,Costa,218.0,Bueno,Mixto,No,No,74,16,30.1,109.6,37.36
3,Residencial,Sierra,239.2,Bueno,Hormigon,Si,No,74,22,27.6,121.4,32.69
5,Residencial,Sierra,207.1,Regular,Mixto,Si,Si,77,5,26.5,128.2,26.68
4,Comercial,Costa,359.3,Bueno,Madera,No,No,81,9,21.4,86.9,39.48
3,Residencial,Costa,121.5,Malo,Mixto,No,No,63,4,31.8,112.1,16.87
6,Comercial,Costa,266.4,Bueno,Mixto,No,No,93,18,20.9,50.0,29.84
4,Residencial,Costa,277.6,Malo,Madera,No,Si,57,18,29.9,130.8,32.08
4,Comercial,Sierra,201.6,Regular,Mixto,Si,No,89,17,32.5,106.7,38.81
2,Comercial,Costa,248.4,Bueno,Madera,No,No,85,10,28.9,147.6,28.49
5,Residencial,Sierra,154.7,Regular,Hormigon,No,Si,87,8,32.9,103.6,26.91
3,Comercial,Oriente,150.6,Bueno,Mixto,No,No,78,23,27.8,104.4,24.7
3,Comercial,Oriente,280.2,Malo,Hormigon,Si,No,72,19,21.3,127.0,37.9
5,Residencial,Costa,213.1,Regular,Mixto,Si,No,88,20,21.1,143.4,26.07
5,Comercial,Oriente,263.1,Bueno,Mixto,No,Si,62,14,22.9,89.3,30.25
3,Comercial,Oriente,196.1,Malo,Hormigon,No,Si,64,18,18.1,97.8,26.47
3,Comercial,Oriente,275.0,Regular,Mixto,No,No,76,23,28.2,50.0,37.5
5,Residencial,Costa,281.4,Bueno,Mixto,No,No,66,19,22.0,84.9,50.09
6,Residencial,Costa,228.1,Regular,Hormigon,Si,No,40,6,30.2,65.6,36.8
2,Comercial,Oriente,157.8,Bueno,Mixto,No,Si,60,9,23.4,107.5,19.36
3,Residencial,Sierra,165.6,Malo,Madera,Si,Si,98,16,25.2,103.6,30.94
2,Comercial,Oriente,261.4,Malo,Mixto,No,Si,88,4,32.5,133.0,29.68
5,Comercial,Costa,290.0,Regular,Mixto,No,Si,49,17,21.6,98.7,42.35
5,Comercial,Costa,254.6,Regular,Mixto,Si,Si,70,5,28.8,135.9,34.84
5,Comercial,Costa,296.8,Bueno,Hormigon,No,Si,83,5,29.3,50.0,36.39
7,Comercial,Oriente,203.7,Malo,Madera,No,No,64,18,21.3,90.5,30.05
5,Residencial,Sierra,319.5,Bueno,Madera,No,Si,59,21,25.5,70.1,41.48
2,Comercial,Costa,171.3,Malo,Mixto,No,No,96,12,23.3,140.8,21.24
2,Residencial,Costa,160.6,Regular,Hormigon,Si,Si,41,6,29.6,144.8,18.44
6,Residencial,Oriente,250.2,Bueno,Hormigon,No,No,94,7,27.3,157.2,30.6
5,Comercial,Sierra,268.5,Bueno,Madera,No,Si,87,18,25.1,101.4,34.11
4,Comercial,Oriente,233.7,Malo,Hormigon,Si,No,54,8,29.7,106.9,35.46
3,Residencial,Costa,163.5,Malo,Mixto,No,No,67,23,21.5,99.5,22.95
3,Residencial,Sierra,212.2,Malo,Mixto,Si,No,52,23,29.3,124.9,27.42
4,Residencial,Sierra,169.4,Regular,Hormigon,No,Si,89,8,31.0,81.7,28.94
6,Comercial,Costa,332.0,Bueno,Mixto,No,Si,99,13,31.2,95.5,40.71
6,Residencial,Sierra,170.1,Malo,Madera,No,Si,91,19,29.8,135.0,24.12
5,Comercial,Sierra,305.0,Regular,Mixto,Si,No,93,15,24.1,95.7,34.27
2,Comercial,Oriente,159.4,Malo,Hormigon,Si,No,53,17,32.7,57.3,18.8
2,Comercial,Costa,166.2,Bueno,Madera,No,No,89,14,23.7,141.5,31.22
4,Residencial,Costa,246.9,Malo,Mixto,Si,Si,41,22,27.6,127.7,27.82
4,Comercial,Costa,150.5,Bueno,Madera,No,Si,73,9,20.4,66.0,23.12
4,Comercial,Costa,178.3,Regular,Hormigon,Si,No,74,13,32.7,119.9,22.53
6,Comercial,Costa,215.4,Regular,Mixto,No,Si,76,23,28.6,132.7,29.11
3,Comercial,Sierra,170.7,Malo,Mixto,Si,Si,64,6,29.3,127.1,30.22
3,Comercial,Oriente,197.2,Bueno,Madera,No,Si,87,18,19.0,115.9,25.33
4,Residencial,Costa,234.5,Bueno,Mixto,Si,Si,93,14,29.5,110.7,32.17
5,Comercial,Oriente,347.6,Bueno,Mixto,Si,No,54,5,29.6,127.8,38.15
6,Comercial,Oriente,202.4,Malo,Mixto,Si,Si,51,9,28.1,90.4,28.96
3,Residencial,Sierra,145.3,Bueno,Mixto,Si,Si,48,20,22.4,81.2,18.5
3,Comercial,Costa,194.3,Bueno,Hormigon,No,No,97,21,25.3,72.5,24.37
4,Residencial,Sierra,172.3,Bueno,Mixto,No,No,70,7,19.7,115.1,20.85
2,Comercial,Costa,247.8,Bueno,Madera,Si,Si,53,12,25.1,104.0,33.18
4,Residencial,Sierra,177.0,Malo,Hormigon,No,Si,68,13,21.7,101.5,22.97
5,Residencial,Oriente,317.7,Malo,Madera,Si,Si,92,5,23.2,107.7,57.03
4,Comercial,Costa,295.1,Bueno,Madera,No,Si,87,14,20.4,197.0,33.07
4,Comercial,Oriente,302.6,Bueno,Madera,Si,No,82,14,21.5,100.0,39.85
4,Comercial,Oriente,332.3,Regular,Hormigon,No,No,77,14,19.1,61.8,39.25
7,Residencial,Sierra,259.8,Regular,Hormigon,No,No,81,4,31.8,112.4,32.16
4,Residencial,Costa,174.4,Bueno,Hormigon,Si,Si,99,17,26.0,72.3,26.0
1,Residencial,Oriente,100.2,Bueno,Mixto,Si,Si,47,4,24.0,188.0,14.09
4,Comercial,Sierra,327.6,Regular,Madera,Si,No,87,12,26.0,119.5,45.97
4,Residencial,Costa,254.7,Regular,Hormigon,Si,Si,42,4,27.4,77.0,42.26
1,Residencial,Costa,257.9,Bueno,Madera,Si,No,41,7,31.8,90.6,32.85
4,Comercial,Oriente,186.1,Malo,Hormigon,No,No,55,4,20.7,142.5,29.47
4,Residencial,Costa,254.7,Malo,Hormigon,Si,No,58,22,22.4,95.8,45.06
2,Residencial,Oriente,169.3,Bueno,Hormigon,No,No,69,13,32.6,89.4,24.56
7,Comercial,Costa,176.1,Bueno,Madera,Si,No,80,18,23.6,82.2,20.25
5,Residencial,Sierra,298.5,Regular,Mixto,No,No,55,23,18.3,88.8,39.82
4,Comercial,Oriente,245.2,Regular,Hormigon,No,No,70,7,20.2,103.8,33.64
4,Comercial,Oriente,302.6,Malo,Hormigon,Si,Si,93,23,18.4,120.0,36.72
2,Comercial,Costa,297.9,Bueno,Hormigon,Si,No,97,17,32.8,144.1,44.71
1,Comercial,Costa,211.6,Regular,Mixto,No,No,67,8,22.2,86.2,28.72
2,Comercial,Oriente,158.5,Malo,Madera,No,Si,43,18,31.9,102.6,21.93
4,Residencial,Costa,135.9,Malo,Madera,Si,No,49,18,32.9,63.9,16.5
4,Residencial,Sierra,121.3,Malo,Madera,No,Si,90,19,27.0,138.5,21.1
3,Comercial,Costa,268.2,Regular,Madera,No,No,84,19,18.5,138.9,34.15
3,Comercial,Sierra,212.1,Regular,Hormigon,No,Si,57,7,19.2,113.6,29.87
3,Residencial,Sierra,175.5,Bueno,Mixto,No,Si,86,12,25.2,135.4,23.15
3,Comercial,Sierra,170.6,Bueno,Hormigon,No,Si,71,4,24.1,115.2,19.8
3,Comercial,Sierra,263.8,Malo,Mixto,No,No,69,8,27.1,124.3,35.7
1,Comercial,Sierra,86.9,Malo,Madera,Si,Si,75,12,24.6,96.5,15.44
3,Residencial,Costa,201.0,Regular,Mixto,Si,No,48,23,32.0,131.3,28.89
4,Residencial,Sierra,119.5,Regular,Hormigon,Si,No,75,8,26.0,65.0,26.99
2,Comercial,Costa,172.0,Bueno,Hormigon,Si,No,68,7,28.4,127.6,19.68
5,Comercial,Sierra,155.6,Bueno,Madera,No,No,55,19,31.4,69.5,22.1
7,Residencial,Oriente,287.5,Bueno,Hormigon,Si,No,67,5,20.2,116.2,48.04
6,Residencial,Sierra,235.8,Regular,Hormigon,No,No,60,19,21.4,62.0,26.55
7,Comercial,Oriente,219.4,Malo,Mixto,No,No,86,21,19.6,119.5,25.48
3,Comercial,Sierra,252.9,Bueno,Hormigon,Si,Si,95,5,20.1,97.4,30.15
4,Residencial,Sierra,133.2,Bueno,Madera,Si,No,41,19,25.7,113.8,21.04
6,Residencial,Sierra,209.5,Regular,Madera,No,No,99,4,22.8,114.4,23.05
3,Residencial,Oriente,273.0,Bueno,Hormigon,Si,Si,98,19,24.3,97.9,33.61
4,Comercial,Oriente,184.5,Malo,Madera,Si,No,85,6,32.7,91.2,24.7
1,Residencial,Sierra,238.6,Regular,Mixto,No,Si,74,18,20.4,88.9,35.25
4,Comercial,Costa,279.1,Bueno,Mixto,No,Si,93,14,26.1,134.2,37.01
7,Residencial,Sierra,346.6,Bueno,Hormigon,No,No,67,13,19.5,107.0,44.05
3,Residencial,Oriente,151.9,Regular,Hormigon,No,No,94,20,22.8,111.2,23.28
4,Residencial,Sierra,156.7,Regular,Mixto,No,Si,75,7,25.9,125.2,31.56
3,Residencial,Oriente,197.2,Bueno,Madera,No,No,70,20,32.2,89.8,26.06
1,Comercial,Oriente,231.7,Malo,Hormigon,Si,Si,72,7,23.9,110.1,32.09
4,Comercial,Oriente,195.6,Regular,Hormigon,Si,Si,62,22,19.0,99.4,25.34
4,Residencial,Sierra,229.9,Malo,Madera,Si,No,99,4,23.8,106.1,33.43
6,Comercial,Oriente,234.2,Bueno,Hormigon,No,Si,80,17,20.2,54.7,31.15
3,Residencial,Oriente,283.1,Malo,Madera,No,No,56,14,21.4,122.5,33.47
1,Residencial,Sierra,128.8,Bueno,Madera,Si,No,85,10,27.3,87.6,24.93
2,Residencial,Oriente,86.7,Bueno,Madera,Si,Si,88,20,19.0,79.8,18.11
3,Residencial,Sierra,298.3,Bueno,Madera,Si,Si,40,7,25.0,79.3,37.56
3,Comercial,Oriente,240.8,Bueno,Madera,No,No,81,13,27.1,137.2,33.58
6,Residencial,Costa,326.2,Malo,Mixto,Si,No,62,20,24.3,123.8,43.83
4,Residencial,Costa,190.4,Bueno,Madera,Si,No,87,7,18.3,85.5,22.32
4,Comercial,Oriente,167.0,Bueno,Mixto,Si,Si,66,22,32.8,112.2,24.81
4,Residencial,Costa,396.2,Malo,Madera,No,No,64,21,23.5,113.6,50.19
3,Residencial,Sierra,232.4,Regular,Hormigon,Si,Si,71,20,29.7,113.5,26.6
5,Residencial,Costa,264.6,Malo,Mixto,Si,Si,58,9,22.9,80.6,35.89
2,Comercial,Oriente,249.1,Malo,Hormigon,No,Si,63,10,25.1,127.8,30.04
4,Residencial,Oriente,223.1,Malo,Madera,No,No,96,9,23.8,143.9,27.93
4,Comercial,Sierra,115.1,Bueno,Madera,No,Si,42,15,23.1,117.7,19.7
5,Residencial,Oriente,301.3,Bueno,Hormigon,No,No,99,12,18.3,67.4,47.59
4,Residencial,Sierra,277.6,Bueno,Madera,No,Si,51,21,23.4,56.3,38.24
4,Comercial,Costa,178.7,Regular,Hormigon,Si,No,74,5,31.3,106.7,24.67
5,Residencial,Costa,315.5,Bueno,Madera,Si,No,54,20,28.4,111.4,37.1
3,Residencial,Sierra,245.9,Regular,Madera,No,Si,56,4,20.2,132.2,28.12
4,Comercial,Sierra,166.9,Bueno,Mixto,No,No,89,12,26.9,62.6,34.23
3,Comercial,Oriente,187.7,Malo,Hormigon,No,Si,71,9,31.4,74.1,26.26
6,Comercial,Costa,380.2,Bueno,Madera,No,Si,46,5,28.5,94.8,62.0
6,Comercial,Sierra,301.8,Regular,Hormigon,Si,Si,58,9,20.2,131.1,36.69
4,Comercial,Costa,253.7,Regular,Mixto,Si,Si,46,12,31.0,115.9,40.17
3,Residencial,Sierra,120.7,Bueno,Hormigon,No,Si,44,6,22.5,175.9,17.03
5,Comercial,Costa,317.8,Malo,Mixto,No,Si,97,19,24.8,111.2,41.25
3,Residencial,Oriente,369.0,Bueno,Hormigon,No,Si,79,18,25.9,103.7,43.99
3,Residencial,Costa,276.8,Bueno,Hormigon,No,No,60,15,30.8,159.3,40.19
6,Residencial,Costa,322.4,Bueno,Mixto,Si,Si,87,11,32.0,158.6,35.85
5,Comercial,Costa,126.0,Malo,Madera,No,Si,87,9,31.9,110.7,18.23
3,Comercial,Costa,180.1,Regular,Madera,No,No,90,6,18.1,126.4,25.22
3,Residencial,Costa,233.4,Malo,Madera,Si,No,96,7,31.8,134.7,27.84
5,Comercial,Oriente,235.1,Regular,Hormigon,No,Si,86,13,18.8,138.5,32.93
4,Comercial,Sierra,198.3,Regular,Hormigon,Si,Si,46,17,22.0,102.5,35.4
6,Comercial,Costa,312.0,Regular,Madera,No,Si,76,18,25.7,66.7,35.6
3,Comercial,Oriente,173.6,Malo,Hormigon,No,No,62,10,25.2,64.2,26.74
4,Residencial,Costa,280.6,Bueno,Hormigon,Si,Si,50,10,27.1,121.8,36.89
2,Residencial,Costa,123.8,Bueno,Madera,No,No,49,11,25.2,96.5,22.21
